,Identifies_the_type_of_dwelling,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Lot_configuration,LandSlope,Neighborhood,Condition1,Condition2,Type_of_dwelling,HouseStyle,OverallQual,OverallCond,YearRemodAdd,RoofStyle,Roof_material,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical_system,1stFlrSF,Low_quality_finished_square_feet,GrLivArea,BedroomAbvGr,KitchenAbvGr,Kitchen_Quality,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,Garage_location,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,Garage_condition,Paved driveway,Pool_quality,Fence_Quality,Miscellaneous_feature,miscellaneous_feature,MoSold,YrSold,SaleType,SaleCondition,SalePrice,PricePerSqFt,AgeAtSale,TotalSqFt,TotalBathrooms,TotalPorchArea,TotalFinishedSqFt,TotalQualityScore,TotalGarageScore,TotalOutdoorArea,DateSold,Sentiment
0,2-STORY 1946 & NEWER,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,Gable,CompShg,VinylSd,VinylSd,196,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,150,856,GasA,Ex,Y,SBrkr,856,0,1710,3,1,Gd,8,Typ,0,No,Attchd,2003,RFn,2,548,TA,TA,Y,No,No,No,0,Feb,2008,WD,Normal,208500,81.25487139516757,5,2566,2.5,61,2416,12,1096,61,2008-02-01,0.0
1,1-STORY 1946 & NEWER ALL STYLES,RL,80,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,No,No,No,0,May,2007,WD,Normal,181500,71.90966719492869,31,2524,2.0,0,2240,14,920,298,2007-05-01,0.0
2,2-STORY 1946 & NEWER,RL,68,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2002,Gable,CompShg,VinylSd,VinylSd,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,434,920,GasA,Ex,Y,SBrkr,920,0,1786,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,No,No,No,0,Sep,2008,WD,Normal,223500,82.59423503325942,7,2706,2.5,42,2272,12,1216,42,2008-09-01,0.0
3,2-STORY 1945 & OLDER,RL,60,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1970,Gable,CompShg,Wd Sdng,Wd Shng,0,TA,TA,BrkTil,TA,Gd,No,ALQ,Unf,540,756,GasA,Gd,Y,SBrkr,961,0,1717,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,No,No,No,0,Feb,2006,WD,Abnorml,140000,56.61140315406389,91,2473,1.0,307,1933,12,1926,35,2006-02-01,0.0
4,2-STORY 1946 & NEWER,RL,84,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,Gable,CompShg,VinylSd,VinylSd,350,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,490,1145,GasA,Ex,Y,SBrkr,1145,0,2198,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,No,No,No,0,Dec,2008,WD,Normal,250000,74.78312892611427,8,3343,2.5,84,2853,13,2508,276,2008-12-01,0.0
5,1-1/2 STORY FINISHED ALL AGES,RL,85,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1995,Gable,CompShg,VinylSd,VinylSd,0,TA,TA,Wood,Gd,TA,No,GLQ,Unf,64,796,GasA,Ex,Y,SBrkr,796,0,1362,1,1,TA,5,Typ,0,No,Attchd,1993,Unf,2,480,TA,TA,Y,No,MnPrv,Shed,700,Oct,2009,WD,Normal,143000,66.26506024096386,16,2158,1.5,350,2094,10,960,70,2009-10-01,0.0
6,1-STORY 1946 & NEWER ALL STYLES,RL,75,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,186,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,No,No,No,0,Aug,2007,WD,Normal,307000,90.82840236686391,3,3380,2.0,57,3063,13,1272,312,2007-08-01,0.0
7,2-STORY 1946 & NEWER,RL,0,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,Gable,CompShg,HdBoard,HdBoard,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,BLQ,216,1107,GasA,Ex,Y,SBrkr,1107,0,2090,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,No,No,Shed,350,Nov,2009,WD,Normal,200000,62.55864873318736,36,3197,2.5,432,2981,13,968,439,2009-11-01,0.0
8,1-1/2 STORY FINISHED ALL AGES,RM,51,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1950,Gable,CompShg,BrkFace,Wd Shng,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,952,952,GasA,Gd,Y,FuseF,1022,0,1774,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,No,No,No,0,Apr,2008,WD,Abnorml,129900,47.65223771093177,77,2726,2.0,205,1774,12,936,90,2008-04-01,0.0
9,2 FAMILY CONVERSION - ALL STYLES AND AGES,RL,50,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1950,Gable,CompShg,MetalSd,MetalSd,0,TA,TA,BrkTil,TA,TA,No,GLQ,Unf,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,No,No,No,0,Jan,2008,WD,Normal,118000,57.05996131528046,69,2068,1.0,4,1928,11,205,4,2008-01-01,0.0
10,1-STORY 1946 & NEWER ALL STYLES,RL,70,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,Hip,CompShg,HdBoard,HdBoard,0,TA,TA,CBlock,TA,TA,No,Rec,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,3,1,TA,5,Typ,0,No,Detchd,1965,Unf,1,384,TA,TA,Y,No,No,No,0,Feb,2008,WD,Normal,129500,62.25961538461539,43,2080,1.0,0,1946,10,384,0,2008-02-01,0.0
11,2-STORY 1946 & NEWER,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,Hip,CompShg,WdShing,Wd Shng,286,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,177,1175,GasA,Ex,Y,SBrkr,1182,0,2324,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,No,No,No,0,Jul,2006,New,Partial,345000,98.59959988568163,1,3499,3.0,21,3322,14,2208,168,2006-07-01,0.0
12,1-STORY 1946 & NEWER ALL STYLES,RL,0,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,175,912,GasA,TA,Y,SBrkr,912,0,912,2,1,TA,4,Typ,0,No,Detchd,1962,Unf,1,352,TA,TA,Y,No,No,No,0,Sep,2008,WD,Normal,144000,78.94736842105263,46,1824,1.0,176,1649,11,352,140,2008-09-01,0.0
13,1-STORY 1946 & NEWER ALL STYLES,RL,91,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,Gable,CompShg,VinylSd,VinylSd,306,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,3,840,TA,TA,Y,No,No,No,0,Aug,2007,New,Partial,279500,93.54082998661312,1,2988,2.0,33,1494,12,2520,193,2007-08-01,0.0
14,1-STORY 1946 & NEWER ALL STYLES,RL,0,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,212,TA,TA,CBlock,TA,TA,No,BLQ,Unf,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,2,1,TA,5,Typ,1,Fa,Attchd,1960,RFn,1,352,TA,TA,Y,No,GdWo,No,0,May,2008,WD,Normal,157000,62.64964086193137,48,2506,1.5,389,1986,11,352,213,2008-05-01,0.0
15, 1-1/2 STORY - UNFINISHED ALL AGES,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,832,832,GasA,Ex,Y,FuseA,854,0,854,2,1,TA,5,Typ,0,No,Detchd,1991,Unf,2,576,TA,TA,Y,No,GdPrv,No,0,Jul,2007,WD,Normal,132000,78.29181494661921,78,1686,1.0,112,854,15,1152,160,2007-07-01,0.0
